request_id,source_agent,target_agent,protocol,action,duration_ms,tokens_used,status
R001,Coordinator,FlightAgent,A2A,find_flights,2500,450,OK
R001,FlightAgent,booking_api,MCP,search_flights,1800,0,OK
R001,FlightAgent,pricing_api,MCP,get_prices,600,0,OK
R002,Coordinator,HotelAgent,A2A,find_hotels,3200,520,OK
R002,HotelAgent,booking_api,MCP,search_hotels,2400,0,OK
R002,HotelAgent,reviews_api,MCP,get_reviews,800,0,OK
R003,Coordinator,ItineraryAgent,A2A,plan_itinerary,4100,680,OK
R003,ItineraryAgent,maps_api,MCP,get_directions,900,0,OK
R003,ItineraryAgent,calendar_api,MCP,check_availability,500,0,OK
R003,ItineraryAgent,weather_api,MCP,get_forecast,400,0,OK
R004,Coordinator,FlightAgent,A2A,book_flight,3800,380,OK
R004,FlightAgent,booking_api,MCP,create_booking,2200,0,OK
R004,FlightAgent,payment_api,MCP,process_payment,1200,0,OK
R005,Coordinator,HotelAgent,A2A,book_hotel,2900,350,OK
R005,HotelAgent,booking_api,MCP,create_booking,1800,0,OK
R006,Coordinator,FlightAgent,A2A,find_flights,2800,460,ERROR
R006,FlightAgent,booking_api,MCP,search_flights,2100,0,ERROR
R007,Coordinator,ItineraryAgent,A2A,update_itinerary,1500,290,OK
R007,ItineraryAgent,calendar_api,MCP,update_event,600,0,OK
R008,Coordinator,HotelAgent,A2A,cancel_hotel,1200,200,OK
